Date_ID,Date,Year,Quarter,Month_Number,Month_Name
20190101,01/01/2019,2019,1,01,January
20190102,02/01/2019,2019,1,01,January
20190103,03/01/2019,2019,1,01,January
20190104,04/01/2019,2019,1,01,January
20190105,05/01/2019,2019,1,01,January
20190106,06/01/2019,2019,1,01,January
20190107,07/01/2019,2019,1,01,January
20190108,08/01/2019,2019,1,01,January
20190109,09/01/2019,2019,1,01,January
20190110,10/01/2019,2019,1,01,January
20190111,11/01/2019,2019,1,01,January
20190112,12/01/2019,2019,1,01,January
20190113,13/01/2019,2019,1,01,January
20190114,14/01/2019,2019,1,01,January
20190115,15/01/2019,2019,1,01,January
20190116,16/01/2019,2019,1,01,January
20190117,17/01/2019,2019,1,01,January
20190118,18/01/2019,2019,1,01,January
20190119,19/01/2019,2019,1,01,January
20190120,20/01/2019,2019,1,01,January
20190121,21/01/2019,2019,1,01,January
20190122,22/01/2019,2019,1,01,January
20190123,23/01/2019,2019,1,01,January
20190124,24/01/2019,2019,1,01,January
20190125,25/01/2019,2019,1,01,January
20190126,26/01/2019,2019,1,01,January
20190127,27/01/2019,2019,1,01,January
20190128,28/01/2019,2019,1,01,January
20190129,29/01/2019,2019,1,01,January
20190130,30/01/2019,2019,1,01,January
20190131,31/01/2019,2019,1,01,January
20190201,01/02/2019,2019,1,02,February
20190202,02/02/2019,2019,1,02,February
20190203,03/02/2019,2019,1,02,February
20190204,04/02/2019,2019,1,02,February
20190205,05/02/2019,2019,1,02,February
20190206,06/02/2019,2019,1,02,February
20190207,07/02/2019,2019,1,02,February
20190208,08/02/2019,2019,1,02,February
20190209,09/02/2019,2019,1,02,February
20190210,10/02/2019,2019,1,02,February
20190211,11/02/2019,2019,1,02,February
20190212,12/02/2019,2019,1,02,February
20190213,13/02/2019,2019,1,02,February
20190214,14/02/2019,2019,1,02,February
20190215,15/02/2019,2019,1,02,February
20190216,16/02/2019,2019,1,02,February
20190217,17/02/2019,2019,1,02,February
20190218,18/02/2019,2019,1,02,February
20190219,19/02/2019,2019,1,02,February
20190220,20/02/2019,2019,1,02,February
20190221,21/02/2019,2019,1,02,February
20190222,22/02/2019,2019,1,02,February
20190223,23/02/2019,2019,1,02,February
20190224,24/02/2019,2019,1,02,February
20190225,25/02/2019,2019,1,02,February
20190226,26/02/2019,2019,1,02,February
20190227,27/02/2019,2019,1,02,February
20190228,28/02/2019,2019,1,02,February
20190301,01/03/2019,2019,1,03,March
20190302,02/03/2019,2019,1,03,March
20190303,03/03/2019,2019,1,03,March
20190304,04/03/2019,2019,1,03,March
20190305,05/03/2019,2019,1,03,March
20190306,06/03/2019,2019,1,03,March
20190307,07/03/2019,2019,1,03,March
20190308,08/03/2019,2019,1,03,March
20190309,09/03/2019,2019,1,03,March
20190310,10/03/2019,2019,1,03,March
20190311,11/03/2019,2019,1,03,March
20190312,12/03/2019,2019,1,03,March
20190313,13/03/2019,2019,1,03,March
20190314,14/03/2019,2019,1,03,March
20190315,15/03/2019,2019,1,03,March
20190316,16/03/2019,2019,1,03,March
20190317,17/03/2019,2019,1,03,March
20190318,18/03/2019,2019,1,03,March
20190319,19/03/2019,2019,1,03,March
20190320,20/03/2019,2019,1,03,March
20190321,21/03/2019,2019,1,03,March
20190322,22/03/2019,2019,1,03,March
20190323,23/03/2019,2019,1,03,March
20190324,24/03/2019,2019,1,03,March
20190325,25/03/2019,2019,1,03,March
20190326,26/03/2019,2019,1,03,March
20190327,27/03/2019,2019,1,03,March
20190328,28/03/2019,2019,1,03,March
20190329,29/03/2019,2019,1,03,March
20190330,30/03/2019,2019,1,03,March
20190331,31/03/2019,2019,1,03,March
20190401,01/04/2019,2019,2,04,April
20190402,02/04/2019,2019,2,04,April
20190403,03/04/2019,2019,2,04,April
20190404,04/04/2019,2019,2,04,April
20190405,05/04/2019,2019,2,04,April
20190406,06/04/2019,2019,2,04,April
20190407,07/04/2019,2019,2,04,April
20190408,08/04/2019,2019,2,04,April
20190409,09/04/2019,2019,2,04,April
20190410,10/04/2019,2019,2,04,April
20190411,11/04/2019,2019,2,04,April
20190412,12/04/2019,2019,2,04,April
20190413,13/04/2019,2019,2,04,April
20190414,14/04/2019,2019,2,04,April
20190415,15/04/2019,2019,2,04,April
20190416,16/04/2019,2019,2,04,April
20190417,17/04/2019,2019,2,04,April
20190418,18/04/2019,2019,2,04,April
20190419,19/04/2019,2019,2,04,April
20190420,20/04/2019,2019,2,04,April
20190421,21/04/2019,2019,2,04,April
20190422,22/04/2019,2019,2,04,April
20190423,23/04/2019,2019,2,04,April
20190424,24/04/2019,2019,2,04,April
20190425,25/04/2019,2019,2,04,April
20190426,26/04/2019,2019,2,04,April
20190427,27/04/2019,2019,2,04,April
20190428,28/04/2019,2019,2,04,April
20190429,29/04/2019,2019,2,04,April
20190430,30/04/2019,2019,2,04,April
20190501,01/05/2019,2019,2,05,May
20190502,02/05/2019,2019,2,05,May
20190503,03/05/2019,2019,2,05,May
20190504,04/05/2019,2019,2,05,May
20190505,05/05/2019,2019,2,05,May
20190506,06/05/2019,2019,2,05,May
20190507,07/05/2019,2019,2,05,May
20190508,08/05/2019,2019,2,05,May
20190509,09/05/2019,2019,2,05,May
20190510,10/05/2019,2019,2,05,May
20190511,11/05/2019,2019,2,05,May
20190512,12/05/2019,2019,2,05,May
20190513,13/05/2019,2019,2,05,May
20190514,14/05/2019,2019,2,05,May
20190515,15/05/2019,2019,2,05,May
20190516,16/05/2019,2019,2,05,May
20190517,17/05/2019,2019,2,05,May
20190518,18/05/2019,2019,2,05,May
20190519,19/05/2019,2019,2,05,May
20190520,20/05/2019,2019,2,05,May
20190521,21/05/2019,2019,2,05,May
20190522,22/05/2019,2019,2,05,May
20190523,23/05/2019,2019,2,05,May
20190524,24/05/2019,2019,2,05,May
20190525,25/05/2019,2019,2,05,May
20190526,26/05/2019,2019,2,05,May
20190527,27/05/2019,2019,2,05,May
20190528,28/05/2019,2019,2,05,May
20190529,29/05/2019,2019,2,05,May
20190530,30/05/2019,2019,2,05,May
20190531,31/05/2019,2019,2,05,May
20190601,01/06/2019,2019,2,06,June
20190602,02/06/2019,2019,2,06,June
20190603,03/06/2019,2019,2,06,June
20190604,04/06/2019,2019,2,06,June
20190605,05/06/2019,2019,2,06,June
20190606,06/06/2019,2019,2,06,June
20190607,07/06/2019,2019,2,06,June
20190608,08/06/2019,2019,2,06,June
20190609,09/06/2019,2019,2,06,June
20190610,10/06/2019,2019,2,06,June
20190611,11/06/2019,2019,2,06,June
20190612,12/06/2019,2019,2,06,June
20190613,13/06/2019,2019,2,06,June
20190614,14/06/2019,2019,2,06,June
20190615,15/06/2019,2019,2,06,June
20190616,16/06/2019,2019,2,06,June
20190617,17/06/2019,2019,2,06,June
20190618,18/06/2019,2019,2,06,June
20190619,19/06/2019,2019,2,06,June
20190620,20/06/2019,2019,2,06,June
20190621,21/06/2019,2019,2,06,June
20190622,22/06/2019,2019,2,06,June
20190623,23/06/2019,2019,2,06,June
20190624,24/06/2019,2019,2,06,June
20190625,25/06/2019,2019,2,06,June
20190626,26/06/2019,2019,2,06,June
20190627,27/06/2019,2019,2,06,June
20190628,28/06/2019,2019,2,06,June
20190629,29/06/2019,2019,2,06,June
20190630,30/06/2019,2019,2,06,June
20190701,01/07/2019,2019,3,07,July
20190702,02/07/2019,2019,3,07,July
20190703,03/07/2019,2019,3,07,July
20190704,04/07/2019,2019,3,07,July
